"Player","Position","Salary","Length.of.Contract","Age","GS","MP","FG","X3P.","X2P","FT","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","USG","ORtg","DRtg","OWS","DWS","WS"
"Donald Sloan","Guard",884,2,25,0,11.4,0.346,0.368,0.339,0.8,1.2,1.7,0.2,0,0.6,0.7,3.5,9.6,0.455,17.5,99,113,0,0,0.1
"Josh Smith","Forward",13500,4,27,76,35.3,0.465,0.303,0.498,0.517,8.4,4.2,1.2,1.8,3,2.3,17.5,17.7,0.501,26.7,97,101,-0.3,4.5,4.2
"Charlie Villanueva","Forward",6500,5,24,47,26.9,0.447,0.345,0.479,0.838,6.7,1.8,0.6,0.7,1.8,3.3,16.2,18.6,0.529,28.5,106,106,2.2,2.7,4.9
"Rodney Stuckey","Guard",8500,3,24,54,31.2,0.439,0.289,0.457,0.866,3.1,5.2,1.1,0.1,2.2,2.5,15.5,18.4,0.544,24.5,112,114,4.4,0.6,5
"Brandon Jennings","Guard",7656,3,22,66,35.3,0.418,0.332,0.464,0.808,3.4,5.5,1.6,0.3,2.2,1.7,19.1,18.4,0.514,25.9,106,107,3.8,1.8,5.5
"Jonas Jerebko","Forward",4500,4,22,73,27.9,0.481,0.313,0.52,0.71,6,0.7,1,0.4,1,2.9,9.3,13.9,0.545,15.7,113,111,2.9,1.5,4.4
"Will Bynum","Guard",2790,2,30,0,18.8,0.469,0.316,0.494,0.809,1.5,3.6,0.7,0.1,1.9,2,9.8,16.6,0.532,27,103,111,1.2,0.5,1.7
"Chauncey Billups","Guard",2500,1,36,22,19,0.402,0.367,0.476,0.938,1.5,2.2,0.5,0,1.2,1.1,8.4,15,0.601,19.6,117,108,1,0.3,1.3
"Josh Harrellson","Center",884,2,23,0,5.2,0.444,0.2,0.75,0.5,1.2,0,0.2,0.2,0.5,0.7,1.7,8.5,0.506,19.9,87,104,0,0,0
"Derrick Rose","Guard",16403,5,23,39,35.3,0.435,0.312,0.475,0.812,3.4,7.9,0.9,0.7,3.1,1.3,21.8,23,0.532,30.5,112,101,4.1,2,6
"Carlos Boozer","Forward",14400,5,28,78,34.3,0.562,0,0.562,0.742,11.2,3.2,1.1,0.5,2.7,3.5,19.5,19.7,0.549,23.8,108,95,3.3,4.3,7.6
"Luol Deng","Forward",9385,6,22,59,33.8,0.479,0.364,0.482,0.77,6.3,2.5,0.9,0.5,1.9,1.9,17,17,0.528,23.6,107,109,2.4,1.9,4.4
"Joakim Noah","Center",9659,5,25,48,32.8,0.525,0,0.526,0.739,10.4,2.2,1,1.5,1.9,3.3,11.7,18.8,0.579,16.8,117,97,3.1,3.6,6.7
"Taj Gibson","Forward",7550,4,27,5,22.4,0.485,0,0.49,0.679,5.3,0.9,0.4,1.4,1.2,2.6,8,14.4,0.518,18.1,104,101,1,2.3,3.3
